model_eff,task,depths,arm,k,filler_tokens,n,acc_k0,acc,paired_gain,gain_se,p_paired
claude-opus-5:off,aimepp,AIME,RB,1.0,46,34,0.3235294117647059,0.2647058823529412,-0.058823529411764705,0.058823529411764705,0.31731050786291415
claude-opus-5:off,aimepp,AIME,RB,5.0,231,34,0.3235294117647059,0.3235294117647059,0.0,0.059708143402653215,1.0
gpt-5.6-sol:none,aimepp,AIME,CB,10.0,23,34,0.2647058823529412,0.23529411764705882,-0.029411764705882353,0.06655910374776682,0.658569216641085
gpt-5.6-sol:none,aimepp,AIME,CB,30.0,63,34,0.2647058823529412,0.20588235294117646,-0.058823529411764705,0.058823529411764705,0.31731050786291415
gpt-5.6-sol:none,aimepp,AIME,CB,100.0,203,34,0.2647058823529412,0.3235294117647059,0.058823529411764705,0.08381688374694295,0.48279764501490297
gpt-5.6-sol:none,aimepp,AIME,CB,300.0,603,34,0.2647058823529412,0.29411764705882354,0.029411764705882353,0.06655910374776682,0.658569216641085
gpt-5.6-sol:none,aimepp,AIME,CB,1000.0,2004,34,0.2647058823529412,0.38235294117647056,0.11764705882352941,0.05608603466150543,0.03593893057402253
gpt-5.6-sol:none,aimepp,AIME,XB,4.0,4,34,0.2647058823529412,0.2647058823529412,0.0,0.07312724241271307,1.0
gpt-5.6-sol:none,aimepp,AIME,XB,16.0,16,34,0.2647058823529412,0.17647058823529413,-0.08823529411764706,0.07747861597713128,0.2547723333298777
gpt-5.6-sol:none,aimepp,AIME,XB,64.0,64,34,0.2647058823529412,0.23529411764705882,-0.029411764705882353,0.02941176470588235,0.3173105078629139
gpt-5.6-sol:none,aimepp,AIME,XB,256.0,256,34,0.2647058823529412,0.23529411764705882,-0.029411764705882353,0.06655910374776682,0.658569216641085
gpt-5.6-sol:none,aimepp,AIME,XB,300.0,300,34,0.2647058823529412,0.35294117647058826,0.08823529411764706,0.07747861597713127,0.2547723333298777
gpt-5.6-sol:none,aimepp,AIME,XB,1024.0,1024,34,0.2647058823529412,0.3235294117647059,0.058823529411764705,0.07240675939960749,0.416559943276791
gpt-5.6-sol:none,aimepp,AIME,XB,4096.0,4096,34,0.2647058823529412,0.23529411764705882,-0.029411764705882353,0.05145467031679522,0.5675893718485889
gpt-5.6-sol:none,aimepp,AIME,RB,1.0,46,34,0.2647058823529412,0.23529411764705882,-0.029411764705882353,0.06655910374776682,0.658569216641085
gpt-5.6-sol:none,aimepp,AIME,RB,5.0,231,34,0.2647058823529412,0.29411764705882354,0.029411764705882353,0.06655910374776682,0.658569216641085
deepseek/deepseek-v3.2:off,aimepp,AIME,CB,10.0,23,34,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.05608603466150543,0.03593893057402253
