model_eff,task,depth,arm,n_calls,n_levels,max_dots,acc_k0,acc_maxk,tau_b,p,sig
qwen/qwen3.5-397b-a17b:off,modchain,3,XB,320,8,700,0.4,0.325,-0.025751310131230238,0.5953598750881051,
qwen/qwen3.5-397b-a17b:off,modchain,3,XC,320,8,700,0.4,0.325,-0.03899139728013477,0.42131415521370763,
qwen/qwen3.5-397b-a17b:off,modchain,4,XB,320,8,700,0.3,0.325,-0.005154913117764517,0.9153340784602567,
qwen/qwen3.5-397b-a17b:off,modchain,4,XC,320,8,700,0.3,0.325,0.006353429926601232,0.8957510472054532,
qwen/qwen3.5-397b-a17b:off,perm,2,XB,320,8,700,0.075,0.075,0.01729221521910864,0.7213703721252831,
qwen/qwen3.5-397b-a17b:off,perm,2,XC,320,8,700,0.075,0.075,-0.011432701012699619,0.8136006109341923,
qwen/qwen3.5-397b-a17b:off,perm,3,XB,320,8,700,0.075,0.125,0.06354618473563635,0.19000923315608964,
qwen/qwen3.5-397b-a17b:off,perm,3,XC,320,8,700,0.075,0.15,0.0371061801779131,0.44411469685133076,
x-ai/grok-4.20:off,lookup,2,XB,320,8,700,0.425,0.15,-0.17079768828204192,0.0004275533412588809,***
x-ai/grok-4.20:off,lookup,2,XC,320,8,700,0.425,0.15,-0.15764987360185467,0.0011487465841489258,**
x-ai/grok-4.20:off,lookup,3,XB,320,8,700,0.2,0.075,-0.0831073469181763,0.08653357460730604,
x-ai/grok-4.20:off,lookup,3,XC,320,8,700,0.2,0.15,-0.04202026874277675,0.3861559082498962,
x-ai/grok-4.20:off,modchain,2,XB,320,8,700,0.85,0.8,-0.03287289612556313,0.49779843497383613,
x-ai/grok-4.20:off,modchain,2,XC,320,8,700,0.85,0.725,-0.07283513248747969,0.13306523123058345,
x-ai/grok-4.20:off,modchain,3,XB,320,8,700,0.375,0.325,-0.022197673213857464,0.6470988812964478,
x-ai/grok-4.20:off,modchain,3,XC,320,8,700,0.375,0.35,-0.0465381193343544,0.3371638999041039,
x-ai/grok-4.20:off,perm,2,XB,320,8,700,0.125,0.15,0.03638635852671622,0.45300292932220165,
x-ai/grok-4.20:off,perm,2,XC,320,8,700,0.125,0.075,-0.024598458059779383,0.611938002367926,
x-ai/grok-4.20:off,perm,3,XB,320,8,700,0.05,0.15,0.010289430911429658,0.8319469335789733,
x-ai/grok-4.20:off,perm,3,XC,320,8,700,0.05,0.2,0.059698233501769594,0.21825063316018067,
x-ai/grok-4.20:off,reach,2,XB,320,8,700,0.65,0.625,-0.012198750911856664,0.8013639456370101,
x-ai/grok-4.20:off,reach,2,XC,320,8,700,0.65,0.6,-0.031342867961049924,0.5180183213491298,
x-ai/grok-4.20:off,reach,3,XB,320,8,700,0.525,0.525,-0.01890413211508922,0.6966315928020532,
x-ai/grok-4.20:off,reach,3,XC,320,8,700,0.525,0.6,0.0609871602834049,0.20847296809635185,
