           model_eff    task arm    k  filler_tokens   n  acc  baseline   gain  gain_se  parse  compliant  max_reasoning_tokens
claude-fable-5-1:low    gpqa  CB 1000           2999 100 0.81     0.815 -0.005    0.048   0.95       0.95                     7
claude-fable-5-1:low    gpqa  CC   10             28 100 0.80     0.815 -0.015    0.049   0.96       0.96                     4
claude-fable-5-1:low    gpqa  CC  100            298 100 0.81     0.815 -0.005    0.048   0.96       0.96                     4
claude-fable-5-1:low    gpqa  RB    1            206 100 0.82     0.815  0.005    0.047   0.97       0.97                     4
claude-fable-5-1:low    gpqa  RB    3            621 100 0.81     0.815 -0.005    0.048   0.96       0.96                     4
claude-fable-5-1:low    gpqa   C    1              0 100 0.55     0.815 -0.265    0.057   0.65       0.65                   387
claude-fable-5-1:low    gpqa   C    3              0 100 0.23     0.815 -0.585    0.050   0.28       0.28                  1142
     gpt-6-astra:low    gpqa  XB   20             20 100 0.89     0.855  0.035    0.040   1.00       1.00                     0
     gpt-6-astra:low    gpqa  XB  140            140 100 0.87     0.855  0.015    0.042   1.00       1.00                     0
     gpt-6-astra:low    gpqa  XB  700            700 100 0.94     0.855  0.085    0.034   1.00       1.00                     0
     gpt-6-astra:low    gpqa  XC   20             20 100 0.86     0.855  0.005    0.043   1.00       1.00                     0
     gpt-6-astra:low    gpqa  XC  140            140 100 0.90     0.855  0.045    0.039   1.00       1.00                     0
     gpt-6-astra:low    gpqa  XC  700            700 100 0.89     0.855  0.035    0.040   1.00       1.00                     0
     gpt-6-astra:low    gpqa  CB   10             28 100 0.89     0.855  0.035    0.040   1.00       1.00                     0
     gpt-6-astra:low    gpqa  CB   50            148 100 0.91     0.855  0.055    0.038   1.00       1.00                     0
     gpt-6-astra:low    gpqa  CB  100            298 100 0.91     0.855  0.055    0.038   1.00       1.00                     0
     gpt-6-astra:low    gpqa  CB  500           1498 100 0.94     0.855  0.085    0.034   1.00       1.00                     0
     gpt-6-astra:low    gpqa  CB 1000           2999 100 0.95     0.855  0.095    0.033   1.00       1.00                     0
     gpt-6-astra:low    gpqa  CC   10             28 100 0.87     0.855  0.015    0.042   1.00       1.00                     0
     gpt-6-astra:low    gpqa  CC  100            298 100 0.89     0.855  0.035    0.040   1.00       1.00                     0
     gpt-6-astra:low    gpqa  RB    1            206 100 0.89     0.855  0.035    0.040   1.00       1.00                     0
     gpt-6-astra:low    gpqa  RB    3            621 100 0.93     0.855  0.075    0.036   1.00       1.00                     0
     gpt-6-astra:low    gpqa   C    1              0 100 0.89     0.855  0.035    0.040   1.00       0.99                     0
     gpt-6-astra:low    gpqa   C    3              0 100 0.88     0.855  0.025    0.041   1.00       1.00                     0
      gpt-4o:default mmlupro  XB   20             20 100 0.37     0.320  0.050    0.058   1.00       1.00                     0
      gpt-4o:default mmlupro  XB  140            140 100 0.37     0.320  0.050    0.058   1.00       1.00                     0
      gpt-4o:default mmlupro  XB  700            700 100 0.35     0.320  0.030    0.058   1.00       1.00                     0
      gpt-4o:default mmlupro  XC   20             20 100 0.38     0.320  0.060    0.059   1.00       0.34                     0
      gpt-4o:default mmlupro  XC  140            140 100 0.38     0.320  0.060    0.059   1.00       0.29                     0
      gpt-4o:default mmlupro  XC  700            700 100 0.35     0.320  0.030    0.058   1.00       0.00                     0
      gpt-4o:default mmlupro  CB   10             28 100 0.43     0.320  0.110    0.059   1.00       1.00                     0
      gpt-4o:default mmlupro  CB   50            148 100 0.38     0.320  0.060    0.059   1.00       1.00                     0
      gpt-4o:default mmlupro  CB  100            298 100 0.39     0.320  0.070    0.059   1.00       1.00                     0
      gpt-4o:default mmlupro  CB  500           1498 100 0.36     0.320  0.040    0.058   1.00       1.00                     0
      gpt-4o:default mmlupro  CB 1000           2999 100 0.36     0.320  0.040    0.058   1.00       1.00                     0
      gpt-4o:default mmlupro  CC   10             28 100 0.40     0.320  0.080    0.059   1.00       1.00                     0
      gpt-4o:default mmlupro  CC  100            298 100 0.37     0.320  0.050    0.058   1.00       1.00                     0
      gpt-4o:default mmlupro  RB    1            184 100 0.36     0.320  0.040    0.058   1.00       1.00                     0
      gpt-4o:default mmlupro  RB    3            555 100 0.39     0.320  0.070    0.059   1.00       1.00                     0
      gpt-4o:default mmlupro   C    1              0 100 0.40     0.320  0.080    0.059   1.00       0.66                     0
      gpt-4o:default mmlupro   C    3              0 100 0.34     0.320  0.020    0.058   1.00       0.72                     0
    gpt-5.6-sol:none mmlupro  XB   20             20 100 0.78     0.765  0.015    0.051   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  XB  140            140 100 0.79     0.765  0.025    0.051   1.00       1.00                     0
    gpt-5.6-sol:none mmlupro  XB  700            700 100 0.80     0.765  0.035    0.050   1.00       1.00                     0
