model_eff,task,arm,k,filler_tokens,n,acc,baseline,gain,gain_se,parse,compliant,max_reasoning_tokens
gpt-4o:default,mmlupro,C,3,555,100,0.34,0.32,0.020000000000000018,0.057723478758647244,1.0,0.72,0
gpt-5.6-sol:none,mmlupro,XB,20,20,100,0.78,0.765,0.015000000000000013,0.05113584848225362,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,XB,140,140,100,0.79,0.765,0.025000000000000022,0.050575438702991,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,XB,700,700,100,0.8,0.765,0.03500000000000003,0.04998874873409015,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,XC,20,20,100,0.76,0.765,-0.0050000000000000044,0.05218117476638486,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,XC,140,140,100,0.8,0.765,0.03500000000000003,0.04998874873409015,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,XC,700,700,100,0.79,0.765,0.025000000000000022,0.050575438702991,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,CB,10,28,100,0.78,0.765,0.015000000000000013,0.05113584848225362,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,CB,50,148,100,0.77,0.765,0.0050000000000000044,0.051670833165336126,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,CB,100,298,100,0.8,0.765,0.03500000000000003,0.04998874873409015,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,CB,500,1498,100,0.82,0.765,0.05499999999999994,0.048732689234229624,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,CB,1000,2999,100,0.79,0.765,0.025000000000000022,0.050575438702991,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,CC,10,28,100,0.78,0.765,0.015000000000000013,0.05113584848225362,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,CC,100,298,100,0.74,0.765,-0.025000000000000022,0.053130734984564255,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,RB,1,184,100,0.84,0.765,0.07499999999999996,0.04735900125636097,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,RB,3,555,100,0.84,0.765,0.07499999999999996,0.04735900125636097,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,C,1,184,100,0.84,0.765,0.07499999999999996,0.04735900125636097,1.0,1.0,0
gpt-5.6-sol:none,mmlupro,C,3,555,100,0.79,0.765,0.025000000000000022,0.050575438702991,1.0,1.0,0
claude-fable-5-1:low,mmlupro,XB,20,20,100,0.88,0.87,0.010000000000000009,0.04026785318340177,1.0,1.0,4
claude-fable-5-1:low,mmlupro,XB,140,140,100,0.88,0.87,0.010000000000000009,0.04026785318340177,1.0,1.0,4
claude-fable-5-1:low,mmlupro,XB,700,700,100,0.89,0.87,0.020000000000000018,0.03930012722625717,0.99,0.99,7
claude-fable-5-1:low,mmlupro,XC,20,20,100,0.88,0.87,0.010000000000000009,0.04026785318340177,1.0,1.0,6
claude-fable-5-1:low,mmlupro,XC,140,140,100,0.85,0.87,-0.020000000000000018,0.04290104893822528,1.0,1.0,18
claude-fable-5-1:low,mmlupro,XC,700,700,100,0.89,0.87,0.020000000000000018,0.03930012722625717,1.0,1.0,74
claude-fable-5-1:low,mmlupro,CB,10,28,100,0.88,0.87,0.010000000000000009,0.04026785318340177,1.0,1.0,4
claude-fable-5-1:low,mmlupro,CB,50,148,100,0.86,0.87,-0.010000000000000009,0.04206542523260641,0.97,0.97,7
claude-fable-5-1:low,mmlupro,CB,100,298,100,0.9,0.87,0.030000000000000027,0.038281849485101944,0.98,0.97,7
claude-fable-5-1:low,mmlupro,CB,500,1498,100,0.87,0.87,0.0,0.04118859065323795,0.98,0.98,7
claude-fable-5-1:low,mmlupro,CB,1000,2999,100,0.87,0.87,0.0,0.04118859065323795,1.0,0.97,11
claude-fable-5-1:low,mmlupro,CC,10,28,100,0.88,0.87,0.010000000000000009,0.04026785318340177,1.0,1.0,4
claude-fable-5-1:low,mmlupro,CC,100,298,100,0.88,0.87,0.010000000000000009,0.04026785318340177,1.0,1.0,4
claude-fable-5-1:low,mmlupro,RB,1,184,100,0.88,0.87,0.010000000000000009,0.04026785318340177,0.98,0.97,7
claude-fable-5-1:low,mmlupro,RB,3,555,100,0.87,0.87,0.0,0.04118859065323795,0.98,0.98,7
gpt-6-astra:low,mmlupro,XB,20,20,100,0.94,0.935,0.004999999999999893,0.029459718260703042,1.0,1.0,0
gpt-6-astra:low,mmlupro,XB,140,140,100,0.92,0.935,-0.015000000000000013,0.032247092892228275,1.0,1.0,0
gpt-6-astra:low,mmlupro,XB,700,700,100,0.94,0.935,0.004999999999999893,0.029459718260703042,1.0,1.0,0
gpt-6-astra:low,mmlupro,XC,20,20,100,0.94,0.935,0.004999999999999893,0.029459718260703042,1.0,1.0,0
gpt-6-astra:low,mmlupro,XC,140,140,100,0.92,0.935,-0.015000000000000013,0.032247092892228275,1.0,1.0,0
gpt-6-astra:low,mmlupro,XC,700,700,100,0.95,0.935,0.014999999999999902,0.027908332089180827,1.0,0.99,0
gpt-6-astra:low,mmlupro,CB,10,28,100,0.92,0.935,-0.015000000000000013,0.032247092892228275,1.0,1.0,0
gpt-6-astra:low,mmlupro,CB,50,148,100,0.92,0.935,-0.015000000000000013,0.032247092892228275,1.0,1.0,0
gpt-6-astra:low,mmlupro,CB,100,298,100,0.92,0.935,-0.015000000000000013,0.032247092892228275,1.0,1.0,0
gpt-6-astra:low,mmlupro,CB,500,1498,100,0.97,0.935,0.03499999999999992,0.024390059450522052,1.0,1.0,0
gpt-6-astra:low,mmlupro,CB,1000,2999,100,0.95,0.935,0.014999999999999902,0.027908332089180827,1.0,1.0,0
gpt-6-astra:low,mmlupro,CC,10,28,100,0.94,0.935,0.004999999999999893,0.029459718260703042,1.0,1.0,0
gpt-6-astra:low,mmlupro,CC,100,298,100,0.93,0.935,-0.0050000000000000044,0.030901051762035534,1.0,1.0,0
gpt-6-astra:low,mmlupro,RB,1,184,100,0.93,0.935,-0.0050000000000000044,0.030901051762035534,1.0,1.0,0
gpt-6-astra:low,mmlupro,RB,3,555,100,0.94,0.935,0.004999999999999893,0.029459718260703042,1.0,1.0,0
gpt-6-astra:low,mmlupro,C,1,184,100,0.92,0.935,-0.015000000000000013,0.032247092892228275,1.0,1.0,0
gpt-6-astra:low,mmlupro,C,3,555,100,0.94,0.935,0.004999999999999893,0.029459718260703042,1.0,1.0,0
