model_eff,depth,arm,k,n,acc,compliant,rt
gpt-6-astra:low,3,XC,140,40,1.0,1.0,0.0
gpt-6-astra:low,4,B,0,40,0.95,1.0,0.0
gpt-6-astra:low,4,XB,1,40,0.95,1.0,0.0
gpt-6-astra:low,4,XB,2,40,1.0,1.0,0.0
gpt-6-astra:low,4,XB,5,40,1.0,1.0,0.0
gpt-6-astra:low,4,XB,10,40,0.975,1.0,0.0
gpt-6-astra:low,4,XB,20,40,0.975,1.0,0.0
gpt-6-astra:low,4,XB,40,40,1.0,1.0,0.0
gpt-6-astra:low,4,XB,70,40,1.0,1.0,0.0
gpt-6-astra:low,4,XB,140,40,1.0,1.0,0.0
gpt-6-astra:low,4,XC,1,40,0.975,1.0,0.0
gpt-6-astra:low,4,XC,2,40,0.975,1.0,0.0
gpt-6-astra:low,4,XC,5,40,0.975,1.0,0.0
gpt-6-astra:low,4,XC,10,40,1.0,1.0,0.0
gpt-6-astra:low,4,XC,20,40,1.0,1.0,0.0
gpt-6-astra:low,4,XC,40,40,1.0,1.0,0.0
gpt-6-astra:low,4,XC,70,40,1.0,1.0,0.0
gpt-6-astra:low,4,XC,140,40,1.0,1.0,0.0
gpt-6-astra:low,6,B,0,40,0.6,1.0,0.0
gpt-6-astra:low,6,XB,1,40,0.55,1.0,0.0
gpt-6-astra:low,6,XB,2,40,0.5,1.0,0.0
gpt-6-astra:low,6,XB,5,40,0.575,1.0,0.0
gpt-6-astra:low,6,XB,10,40,0.55,1.0,0.0
gpt-6-astra:low,6,XB,20,40,0.725,1.0,0.0
